symbol,date,price,volume
AAPL,2024-01-01,170.00,520000
AAPL,2024-01-02,172.50,480000
AAPL,2024-01-03,175.00,510000
AAPL,2024-01-04,173.80,490000
AAPL,2024-01-05,180.00,550000
MSFT,2024-01-01,320.00,300000
MSFT,2024-01-02,325.00,290000
MSFT,2024-01-03,330.00,310000
MSFT,2024-01-04,328.50,305000
MSFT,2024-01-05,335.00,320000
JPM,2024-01-01,160.00,180000
JPM,2024-01-02,162.50,175000
JPM,2024-01-03,161.00,170000
JPM,2024-01-04,165.00,185000
JPM,2024-01-05,168.00,190000
XOM,2024-01-01,100.00,400000
XOM,2024-01-02,102.50,410000
XOM,2024-01-03,101.00,390000
XOM,2024-01-04,103.00,420000
XOM,2024-01-05,105.00,430000
KO,2024-01-01,60.00,250000
KO,2024-01-02,61.50,240000
KO,2024-01-03,61.00,235000
KO,2024-01-04,62.00,245000
KO,2024-01-05,63.00,260000
