age,income,category,status,target
25,45000,high,active,0
30,52000,medium,active,0
28,48000,high,inactive,0
35,60000,low,active,0
22,35000,medium,inactive,0
40,75000,high,active,0
27,42000,low,active,0
32,55000,medium,active,0
29,49000,high,inactive,0
38,68000,low,active,0
33,51000,medium,active,0
36,61000,high,active,0
31,53000,low,inactive,0
39,69000,medium,active,0
26,46000,high,active,0
45,85000,high,active,1
50,92000,medium,active,1
42,78000,high,inactive,1
48,88000,low,active,1
55,105000,medium,active,1

