order_id,customer_id,product_sku,product_name,quantity_ordered,order_priority,order_timestamp,shipping_address_zip
ORD1001,CUST501,SKU-LAPTOP-X1,Gaming Laptop,1,express,2025-11-06 08:00:00,90210
ORD1001,CUST501,SKU-MOUSE-M5,Wireless Mouse,2,express,2025-11-06 08:00:00,90210
ORD1002,CUST502,SKU-PHONE-P8,Smartphone,1,standard,2025-11-06 09:30:00,10001
ORD1002,CUST502,SKU-CASE-C3,Phone Case,1,standard,2025-11-06 09:30:00,10001
ORD1003,CUST503,SKU-HEADSET-H7,Gaming Headset,1,express,2025-11-06 10:15:00,60601
ORD1004,CUST504,SKU-KEYBOARD-K2,Mechanical Keyboard,2,standard,2025-11-06 11:00:00,30301
ORD1005,CUST505,SKU-MONITOR-M9,4K Monitor,1,express,2025-11-06 12:00:00,85001
ORD1005,CUST505,SKU-CABLE-HDMI,HDMI Cable,3,express,2025-11-06 12:00:00,85001
ORD1006,CUST506,SKU-TABLET-T4,Tablet,2,standard,2025-11-06 13:00:00,02101
ORD1007,CUST507,SKU-LAPTOP-X1,Gaming Laptop,1,standard,2025-11-06 14:00:00,75001
ORD1008,CUST508,SKU-SPEAKER-S6,Bluetooth Speaker,3,express,2025-11-06 15:00:00,98101
ORD1009,CUST509,SKU-WEBCAM-W1,HD Webcam,1,standard,2025-11-06 16:00:00,33101
