product_id,product_name,category,stock_level,reorder_point,unit_cost,supplier_lead_time_days
PROD101,Wireless Mouse,Electronics,25,10,12.50,3
PROD202,Office Chair,Furniture,8,5,85.00,7
PROD303,Desk Lamp LED,Electronics,15,8,22.00,2
PROD404,Ballpoint Pens (12-pack),Stationery,50,20,3.50,1
PROD505,Programming Guide,Books,12,5,18.00,5
PROD606,Mechanical Keyboard,Electronics,10,5,45.00,4
PROD707,Monitor 27",Electronics,6,3,180.00,7
PROD808,Standing Desk,Furniture,3,2,250.00,14
PROD909,Webcam HD,Electronics,20,10,35.00,3
PROD1010,Headphones,Electronics,18,8,25.00,3
PROD1111,Notebook <Premium>,Stationery,100,30,2.00,1
PROD1212,Pen Set,Stationery,40,15,4.00,1
