transaction_id,user_id,country,amount,currency,date,status
TX0001,u1001,United States,"$1,234.56",USD,2024-03-15,Completed
TX0001,u1002,United Kingdom,"£1,234.56",GBP,03/15/2024,completed
TX0002,u1003,France,"1.234,56",EUR,15-03-2024,Pending
TX0003,u1004,Japan,"¥150,000",JPY,2023/12/01,FAILED
TX0004,u1005,India,"₹98,765.43",INR,"March 5, 2024",completed
TX0005,u1006,Germany,"",EUR,2024-04-20,Pending
TX0006,u1007,Spain,-500.00,EUR,2025-01-10,Completed
TX0007,u1008,Brazil,"R$ 2.345,67",BRL,2026-07-30,Success
TX0008,u1009,Canada,"CAD1,500.75",CAD,2022-11-22,pending
TX0009,u1010,Italy,"1.234,56",EUR,2020-01-01,Failed
TX0010,u1011,China,"¥0",JPY,2021-06-15,Completed
TX0001,u1012,Australia,"A$999.99",AUD,2024-09-01,completed
,u1013,Mexico,"$1,000.00",USD,2023-08-12,Pending
TX0012,u1014,"",12.50,USD,2024-02-29,InvalidStatus
TX0013,u1015,Netherlands,"1.234,56",EUR,"InvalidDate",completed
TX0014,u1016,Sweden,"1 234,56",SEK,2024-10-05,Completed
TX0015,u1017,Portugal,"€ -750,00",EUR,2024-05-18,pending
TX0016,u1018,Argentina,"ARS 45.678,90",ARS,2023-03-22,Failed
TX0017,u1019,Switzerland,"CHF1,200.00",CHF,2024-07-11,Completed
TX0018,u1020,Thailand,"฿35,000",THB,2022-04-30,completed
TX0019,u1021,New Zealand,"NZ$2,100.45",NZD,2025-12-31,Pending
TX0020,u1022,Poland,"1 234,56 zł",PLN,2024-11-01,Completed
TX0021,u1023,Egypt,"EGP 5,000.00",EGP,2023-09-15,failed
TX0022,u1024,South Africa,"R 8,765.43",ZAR,2024-06-20,Completed
TX0023,u1025,Russia,"₽120,000",RUB,2021-12-12,pending
TX0024,u1026,Singapore,"S$ 3,456.78",SGD,2024-08-08,Completed
TX0025,u1027,Israel,"₪4,500",ILS,2023-05-05,failed
TX0026,u1028,Malaysia,"RM 2,345.67",MYR,2024-03-03,Completed
TX0027,u1029,Philippines,"₱55,000",PHP,2022-10-10,pending
TX0028,u1030,Vietnam,"₫23,000,000",VND,2024-01-01,Completed
TX0029,u1031,Indonesia,"Rp 15,000,000",IDR,2023-07-07,failed
TX0030,u1032,Chile,"CLP 1.234.567",CLP,2024-04-04,Completed
TX0031,u1033,Peru,"S/ 3,500.00",PEN,2023-11-11,pending
TX0032,u1034,Colombia,"COP 4,500,000",COP,2024-02-02,Completed
TX0033,u1035,"UnknownCountry","1,234.56",USD,2024-12-12,completed
TX0034,u1036,United States,"1,234.56",USD,2025-01-01,Completed
TX0035,u1037,France,"1.234,56",EUR,2019-12-31,Pending
TX0036,u1038,Japan,"¥-10,000",JPY,2024-09-09,failed
TX0037,u1039,India,"₹0.00",INR,2024-10-10,Completed
TX0038,u1040,Germany,"1.234,56",EUR,"2024-13-01",completed
TX0039,u1041,Spain,"1.234,56",EUR,2024-02-30,Pending
TX0040,u1042,Canada,"CAD 1,234.56",CAD,2024-03-31,Completed
TX0041,u1043,United States,"$999.99",USD,2024-06-01,Completed
TX0042,u1044,United Kingdom,"£500.00",GBP,2024-06-02,Pending
TX0043,u1045,Germany,"€1,000.00",EUR,2024-06-03,Completed
TX0044,u1046,France,"2.500,75",EUR,2024-06-04,Failed
TX0045,u1047,Italy,"€750,50",EUR,2024-06-05,completed
TX0046,u1048,Spain,"1.234,56",EUR,2024-06-06,Pending
TX0047,u1049,Portugal,"€300.00",EUR,2024-06-07,Completed
TX0048,u1050,Netherlands,"1.234,56",EUR,2024-06-08,Failed
TX0049,u1051,Belgium,"€600.00",EUR,2024-06-09,completed
TX0050,u1052,Austria,"€400.00",EUR,2024-06-10,Pending
TX0051,u1053,Japan,"¥100,000",JPY,2024-06-11,Completed
TX0052,u1054,India,"₹50,000.00",INR,2024-06-12,Failed
TX0053,u1055,China,"¥80,000",JPY,2024-06-13,completed
TX0054,u1056,South Korea,"₩1,200,000",KRW,2024-06-14,Pending
TX0055,u1057,United States,"$2,500.00",USD,2024-06-15,Completed
TX0056,u1058,Canada,"CAD 3,000.00",CAD,2024-06-16,Failed
TX0057,u1059,Australia,"A$1,800.00",AUD,2024-06-17,completed
TX0058,u1060,New Zealand,"NZ$1,200.00",NZD,2024-06-18,Pending
TX0059,u1061,Singapore,"S$4,000.00",SGD,2024-06-19,Completed
TX0060,u1062,Malaysia,"RM 5,000.00",MYR,2024-06-20,Failed
TX0061,u1063,Thailand,"฿60,000",THB,2024-06-21,completed
TX0062,u1064,Indonesia,"Rp 20,000,000",IDR,2024-06-22,Pending
TX0063,u1065,Philippines,"₱70,000",PHP,2024-06-23,Completed
TX0064,u1066,Vietnam,"₫30,000,000",VND,2024-06-24,Failed
TX0065,u1067,Brazil,"R$ 3,000.00",BRL,2024-06-25,completed
TX0066,u1068,Argentina,"ARS 50,000.00",ARS,2024-06-26,Pending
TX0067,u1069,Chile,"CLP 1,500,000",CLP,2024-06-27,Completed
TX0068,u1070,Peru,"S/ 4,000.00",PEN,2024-06-28,Failed
TX0069,u1071,Colombia,"COP 5,000,000",COP,2024-06-29,completed
TX0070,u1072,Mexico,"$1,500.00",USD,2024-06-30,Pending
