timestamp,src_ip,dst_ip,port,action,bytes
MALFORMED,FIREWALL,ENTRY
2025-11-04T08:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T08:15:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T08:30:30,192.168.100.10,10.0.2.100,22,ALLOW,512
2025-11-04T08:31:00,192.168.100.10,10.0.2.100,22,ALLOW,512
2025-11-04T08:31:30,192.168.100.10,10.0.2.100,22,BLOCK,0
2025-11-04T08:32:00,192.168.100.11,10.0.2.100,22,BLOCK,0
2025-11-04T08:32:30,192.168.100.11,10.0.2.100,22,BLOCK,0
2025-11-04T08:33:00,192.168.100.12,10.0.2.100,22,ALLOW,1024
2025-11-04T08:45:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T09:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T09:15:00,45.123.45.67,10.0.2.100,22,ALLOW,512
2025-11-04T09:15:30,45.123.45.67,10.0.2.100,22,BLOCK,0
2025-11-04T09:16:00,45.123.45.68,10.0.2.100,22,BLOCK,0
2025-11-04T09:16:30,45.123.45.68,10.0.2.100,22,BLOCK,0
2025-11-04T09:17:00,45.123.45.69,10.0.2.100,22,BLOCK,0
2025-11-04T09:17:30,45.123.45.69,10.0.2.100,22,BLOCK,0
2025-11-04T09:30:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T10:00:00,203.0.113.10,10.0.2.100,22,ALLOW,512
2025-11-04T10:00:30,203.0.113.10,10.0.2.100,22,BLOCK,0
2025-11-04T10:01:00,203.0.113.10,10.0.2.100,22,BLOCK,0
2025-11-04T10:01:30,203.0.113.11,10.0.2.100,22,BLOCK,0
2025-11-04T10:02:00,203.0.113.11,10.0.2.100,22,BLOCK,0
2025-11-04T10:02:30,203.0.113.12,10.0.2.100,22,ALLOW,1024
2025-11-04T10:15:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T10:30:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T11:00:00,198.51.100.20,10.0.2.100,22,ALLOW,512
2025-11-04T11:00:30,198.51.100.20,10.0.2.100,22,BLOCK,0
2025-11-04T11:01:00,198.51.100.21,10.0.2.100,22,BLOCK,0
2025-11-04T11:01:30,198.51.100.21,10.0.2.100,22,BLOCK,0
2025-11-04T11:02:00,198.51.100.22,10.0.2.100,22,BLOCK,0
2025-11-04T11:15:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T11:30:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T12:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T12:15:00,172.16.50.10,10.0.2.100,443,ALLOW,1024
2025-11-04T12:30:00,93.184.216.34,10.0.2.100,22,ALLOW,512
2025-11-04T12:30:30,93.184.216.34,10.0.2.100,22,BLOCK,0
2025-11-04T12:31:00,93.184.216.34,10.0.2.100,22,BLOCK,0
2025-11-04T12:31:30,93.184.216.35,10.0.2.100,22,BLOCK,0
2025-11-04T12:32:00,93.184.216.35,10.0.2.100,22,BLOCK,0
2025-11-04T12:32:30,93.184.216.36,10.0.2.100,22,BLOCK,0
2025-11-04T12:33:00,93.184.216.37,10.0.2.100,22,ALLOW,1024
2025-11-04T12:45:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T13:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T13:15:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T13:30:00,185.220.101.10,10.0.2.100,22,ALLOW,512
2025-11-04T13:30:30,185.220.101.10,10.0.2.100,22,BLOCK,0
2025-11-04T13:31:00,185.220.101.10,10.0.2.100,22,BLOCK,0
2025-11-04T13:31:30,185.220.101.11,10.0.2.100,22,BLOCK,0
2025-11-04T13:32:00,185.220.101.11,10.0.2.100,22,BLOCK,0
2025-11-04T13:32:30,185.220.101.12,10.0.2.100,22,BLOCK,0
2025-11-04T13:45:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T14:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T14:15:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T14:30:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T14:45:00,104.244.42.10,10.0.2.100,22,ALLOW,512
2025-11-04T14:45:30,104.244.42.10,10.0.2.100,22,BLOCK,0
2025-11-04T14:46:00,104.244.42.10,10.0.2.100,22,BLOCK,0
2025-11-04T14:46:30,104.244.42.11,10.0.2.100,22,BLOCK,0
2025-11-04T14:47:00,104.244.42.11,10.0.2.100,22,BLOCK,0
2025-11-04T14:47:30,104.244.42.12,10.0.2.100,22,BLOCK,0
2025-11-04T15:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T15:15:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T15:30:00,172.16.50.10,10.0.2.100,443,ALLOW,1024
2025-11-04T15:45:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T16:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T16:15:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T16:30:00,151.80.31.10,10.0.2.100,22,ALLOW,512
2025-11-04T16:30:30,151.80.31.10,10.0.2.100,22,BLOCK,0
2025-11-04T16:31:00,151.80.31.10,10.0.2.100,22,BLOCK,0
2025-11-04T16:31:30,151.80.31.11,10.0.2.100,22,BLOCK,0
2025-11-04T16:32:00,151.80.31.11,10.0.2.100,22,BLOCK,0
2025-11-04T16:32:30,151.80.31.12,10.0.2.100,22,BLOCK,0
2025-11-04T16:33:00,151.80.31.13,10.0.2.100,22,ALLOW,1024
2025-11-04T16:45:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T17:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T17:15:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T17:30:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T17:45:00,172.16.50.10,10.0.2.100,443,ALLOW,1024
2025-11-04T18:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T18:15:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T18:30:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T18:45:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T19:00:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T19:15:00,172.16.50.10,10.0.2.100,443,ALLOW,1024
2025-11-04T19:30:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T19:45:00,198.18.0.25,10.0.2.100,22,ALLOW,512
2025-11-04T19:45:30,198.18.0.25,10.0.2.100,22,BLOCK,0
2025-11-04T19:46:00,198.18.0.25,10.0.2.100,22,BLOCK,0
2025-11-04T19:46:30,198.18.0.25,10.0.2.100,22,BLOCK,0
2025-11-04T19:47:00,198.18.0.25,10.0.2.100,22,BLOCK,0
2025-11-04T20:00:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T20:15:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T20:30:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T20:45:00,172.16.50.10,10.0.2.100,443,ALLOW,1024
2025-11-04T21:00:00,10.0.1.51,10.0.2.100,443,ALLOW,2048
2025-11-04T21:15:00,10.0.1.50,10.0.2.100,443,ALLOW,1024
2025-11-04T21:30:00,172.16.50.11,10.0.2.100,443,ALLOW,1024
2025-11-04T21:45:00,10.0.1.52,10.0.2.100,443,ALLOW,2048
2025-11-04T22:00:00,10.0.1.53,10.0.2.100,443,ALLOW,1024
2025-11-04T22:15:00,185.191.171.45,10.0.2.100,22,ALLOW,512
