wmi,manufacturer,country,region,vehicle_type
1C3,Chrysler,United States,North America,Passenger Car
1C4,Chrysler,United States,North America,Multipurpose Vehicle
1C6,Chrysler,United States,North America,Truck
1FA,Ford,United States,North America,Passenger Car
1FB,Ford,United States,North America,Truck
1FC,Ford,United States,North America,Truck
1FD,Ford,United States,North America,Truck
1FM,Ford,United States,North America,Multipurpose Vehicle
1FT,Ford,United States,North America,Truck
1G1,General Motors,United States,North America,Passenger Car
1G2,General Motors,United States,North America,Passenger Car
1G3,General Motors,United States,North America,Passenger Car
1G4,General Motors,United States,North America,Passenger Car
1G6,General Motors,United States,North America,Passenger Car
1G8,General Motors,United States,North America,Passenger Car
1GB,General Motors,United States,North America,Truck
1GC,General Motors,United States,North America,Truck
1GD,General Motors,United States,North America,Incomplete Vehicle
1GE,General Motors,United States,North America,Truck
1GK,General Motors,United States,North America,Multipurpose Vehicle
1GM,General Motors,United States,North America,Multipurpose Vehicle
1GN,General Motors,United States,North America,Multipurpose Vehicle
1GT,General Motors,United States,North America,Truck
1GY,General Motors,United States,North America,Truck
1HG,Honda,United States,North America,Passenger Car
1J4,Jeep,United States,North America,Multipurpose Vehicle
1L1,Lincoln,United States,North America,Passenger Car
1LN,Lincoln,United States,North America,Passenger Car
1ME,Mercury,United States,North America,Passenger Car
1N4,Nissan,United States,North America,Passenger Car
1N6,Nissan,United States,North America,Truck
1VW,Volkswagen,United States,North America,Passenger Car
1YV,Mazda,United States,North America,Passenger Car
1ZV,Ford,United States,North America,Incomplete Vehicle
2C3,Chrysler,Canada,North America,Passenger Car
2C4,Chrysler,Canada,North America,Multipurpose Vehicle
2FA,Ford,Canada,North America,Passenger Car
2FB,Ford,Canada,North America,Truck
2FC,Ford,Canada,North America,Truck
2FM,Ford,Canada,North America,Multipurpose Vehicle
2FT,Ford,Canada,North America,Truck
2G1,General Motors,Canada,North America,Passenger Car
2G2,General Motors,Canada,North America,Passenger Car
2G3,General Motors,Canada,North America,Passenger Car
2G4,General Motors,Canada,North America,Passenger Car
2HG,Honda,Canada,North America,Passenger Car
2HK,Honda,Canada,North America,Multipurpose Vehicle
2HM,Honda,Canada,North America,Multipurpose Vehicle
2M1,Mercury,Canada,North America,Passenger Car
2T1,Toyota,Canada,North America,Passenger Car
2T2,Toyota,Canada,North America,Multipurpose Vehicle
3C3,Chrysler,Mexico,North America,Passenger Car
3C4,Chrysler,Mexico,North America,Multipurpose Vehicle
3C6,Chrysler,Mexico,North America,Truck
3D3,Dodge,Mexico,North America,Passenger Car
3FA,Ford,Mexico,North America,Passenger Car
3FE,Ford,Mexico,North America,Incomplete Vehicle
3FM,Ford,Mexico,North America,Multipurpose Vehicle
3G1,General Motors,Mexico,North America,Passenger Car
3G2,General Motors,Mexico,North America,Passenger Car
3G3,General Motors,Mexico,North America,Passenger Car
3G4,General Motors,Mexico,North America,Passenger Car
3G5,General Motors,Mexico,North America,Passenger Car
3G7,General Motors,Mexico,North America,Passenger Car
3GC,General Motors,Mexico,North America,Truck
3GN,General Motors,Mexico,North America,Multipurpose Vehicle
3GT,General Motors,Mexico,North America,Truck
3HG,Honda,Mexico,North America,Passenger Car
3HM,Honda,Mexico,North America,Multipurpose Vehicle
3N1,Nissan,Mexico,North America,Passenger Car
3N6,Nissan,Mexico,North America,Truck
3N8,Nissan,Mexico,North America,Multipurpose Vehicle
3VW,Volkswagen,Mexico,North America,Passenger Car
4F2,Mazda,United States,North America,Multipurpose Vehicle
4F4,Mazda,United States,North America,Truck
4M2,Mercury,United States,North America,Multipurpose Vehicle
4S3,Subaru,United States,North America,Passenger Car
4S4,Subaru,United States,North America,Multipurpose Vehicle
4S6,Subaru,United States,North America,Multipurpose Vehicle
4T1,Toyota,United States,North America,Passenger Car
4T3,Toyota,United States,North America,Multipurpose Vehicle
5F2,Honda,United States,North America,Multipurpose Vehicle
5FN,Honda,United States,North America,Truck
5J6,Honda,United States,North America,Truck
5J8,Honda,United States,North America,Truck
5L1,Lincoln,United States,North America,Passenger Car
5LM,Lincoln,United States,North America,Multipurpose Vehicle
5N1,Nissan,United States,North America,Passenger Car
5NM,Nissan,United States,North America,Multipurpose Vehicle
5NP,Nissan,United States,North America,Multipurpose Vehicle
5T1,Toyota,United States,North America,Passenger Car
5TE,Toyota,United States,North America,Truck
5TF,Toyota,United States,North America,Truck
5YJ,Tesla,United States,North America,Passenger Car
6F2,Ford,Australia,Oceania,Passenger Car
6F4,Ford,Australia,Oceania,Truck
6F5,Ford,Australia,Oceania,Truck
6FP,Ford,Australia,Oceania,Passenger Car
6G1,General Motors,Australia,Oceania,Passenger Car
6G2,General Motors,Australia,Oceania,Passenger Car
6H8,General Motors,Australia,Oceania,Passenger Car
6MM,Mitsubishi,Australia,Oceania,Passenger Car
6T1,Toyota,Australia,Oceania,Passenger Car
8AF,Audi,Argentina,South America,Passenger Car
8AG,Audi,Argentina,South America,Multipurpose Vehicle
8AP,Volkswagen,Argentina,South America,Passenger Car
8AW,Volkswagen,Argentina,South America,Multipurpose Vehicle
8C3,Honda,Argentina,South America,Passenger Car
8GD,Peugeot,Argentina,South America,Passenger Car
9BD,Fiat,Brazil,South America,Passenger Car
9BF,Ford,Brazil,South America,Passenger Car
9BG,General Motors,Brazil,South America,Passenger Car
9BH,Hyundai,Brazil,South America,Passenger Car
9BM,Mercedes-Benz,Brazil,South America,Passenger Car
9BR,Toyota,Brazil,South America,Passenger Car
9BS,Scania,Brazil,South America,Truck
9BW,Volkswagen,Brazil,South America,Passenger Car
JAA,Isuzu,Japan,Asia,Passenger Car
JA4,Mitsubishi,Japan,Asia,Passenger Car
JF1,Subaru,Japan,Asia,Passenger Car
JF2,Subaru,Japan,Asia,Passenger Car
JF3,Subaru,Japan,Asia,Multipurpose Vehicle
JHM,Honda,Japan,Asia,Passenger Car
JHL,Honda,Japan,Asia,Passenger Car
JM1,Mazda,Japan,Asia,Passenger Car
JM3,Mazda,Japan,Asia,Multipurpose Vehicle
JM7,Mazda,Japan,Asia,Multipurpose Vehicle
JMZ,Mazda,Japan,Asia,Truck
JN1,Nissan,Japan,Asia,Passenger Car
JN3,Nissan,Japan,Asia,Multipurpose Vehicle
JN6,Nissan,Japan,Asia,Truck
JN8,Nissan,Japan,Asia,Multipurpose Vehicle
JT1,Toyota,Japan,Asia,Incomplete Vehicle
JT2,Toyota,Japan,Asia,Passenger Car
JT3,Toyota,Japan,Asia,Multipurpose Vehicle
JT4,Toyota,Japan,Asia,Truck
JT5,Toyota,Japan,Asia,Incomplete Vehicle
JT6,Lexus,Japan,Asia,Multipurpose Vehicle
JT7,Lexus,Japan,Asia,Multipurpose Vehicle
JT8,Lexus,Japan,Asia,Passenger Car
JTE,Lexus,Japan,Asia,Multipurpose Vehicle
JTG,Lexus,Japan,Asia,Passenger Car
JTH,Lexus,Japan,Asia,Passenger Car
JTJ,Lexus,Japan,Asia,Passenger Car
JTK,Lexus,Japan,Asia,Passenger Car
JTN,Nissan,Japan,Asia,Multipurpose Vehicle
JY3,Yamaha,Japan,Asia,Motorcycle
KL1,Daewoo,South Korea,Asia,Passenger Car
KM8,Hyundai,South Korea,Asia,Passenger Car
KMH,Hyundai,South Korea,Asia,Passenger Car
KMJ,Hyundai,South Korea,Asia,Multipurpose Vehicle
KNA,Kia,South Korea,Asia,Passenger Car
KNB,Kia,South Korea,Asia,Multipurpose Vehicle
KNC,Kia,South Korea,Asia,Multipurpose Vehicle
KND,Kia,South Korea,Asia,Multipurpose Vehicle
KNE,Kia,South Korea,Asia,Passenger Car
KNM,Renault,South Korea,Asia,Passenger Car
L56,Renault,China,Asia,Multipurpose Vehicle
LBE,BAIC,China,Asia,Multipurpose Vehicle
LDC,Dongfeng,China,Asia,Passenger Car
