sku,warehouse,quantity,unit_cost,last_restocked
EF-793495-R,WH-EU-01,316,491.70,2025-10-24
GH-402124-ST,WH-AS-01,580,101.88,10/06/2025
DEF-709446-U,WH-US-02,714,$278.54,"October 24, 2025"
ABC-870634-V,WH-AS-02,186,$456.57,10/17/2025
YZ-279085-UV,WH-US-03,427,508.87,10/17/2025
OP-172339-Y,WH-EU-03,604,532.77,05-10-2025
ABC-223086-UV,WH-EU-03,528,347.76,10/22/2025
UV-223955-B,WH-AS-01,324,$447.85,2025-10-22
AB-075441-C,WH-AS-02,334,443.41,11-10-2025
GH-779480-Z,WH-AS-02,382,580.32,"September 29, 2025"
GH-779480-Z,WH-EU-01,676,543.50,2025-10-20
QR-950314-UV,WH-AS-02,621,127.19,"September 30, 2025"
DEF-300105-X,WH-EU-01,493,$171.35,04-10-2025
UV-251280-V,WH-US-03,92,371.22,03-10-2025
UV-981110-V,WH-AS-01,616,152.64,2025-10-26
OP-424389-S,WH-AS-03,290,50.01,10/22/2025
GH-377417-ST,WH-EU-01,341,$501.30,21-10-2025
GHI-163316-U,WH-EU-01,483,$533.58,10/07/2025
ABC-626380-S,WH-AS-03,592,$288.89,09-06-2025
ABC-490710-ST,WH-EU-02,285,$476.94,10/02/2025
IJ-443374-T,WH-AS-02,"1,328",389.95,2025-10-01
MN-382913-X,WH-US-03,494,286.93,2025-10-15
KL-733052-X,WH-AS-01,191,583.19,2025-10-17
EF-897865-U,WH-AS-02,122,475.07,11-10-2025
KL-060642-Z,WH-US-03,582,41.37,2025-10-10
GH-261735-U,WH-US-02,537,1039.21,10/19/2025
DEF-150811-V,WH-US-02,319,452.29,09-10-2025
OP-811620-V,WH-US-03,450,507.76,03-10-2025
AB-796667-RS,WH-AS-03,243,67.60,01-10-2025
MN-703258-C,WH EU 01,871,$466.90,10/24/2025
DEF-300105-X,WH-AS-03,174,172.56,2025-10-13
QR-784300-A,WH-AS-01,287,257.58,2025-09-30
ABC-343027-X,WH-EU-03,599,160.56,09/30/2025
ABC-842204-B,WH-US-02,150,269.68,"June 10, 2025"
UV-458592-A,WH-AS-02,488,$427.26,2025-10-15
IJ-286577-V,WH-AS-01,373,355.09,10/01/2025
CD-032244-S,WH-AS-01,566,$566.97,"October 20, 2025"
IJ-443374-T,WH-US-02,223,390.68,02-06-2025
EF-090814-C,WH-EU-02,230,219.78,2025-09-30
CD-324232-W,WH-EU-03,692,313.94,10/08/2025
EF-465656-RS,WH-US-03,528,243.49,06-10-2025
IJ-259607-C,WH EU 03,616,520.22,10/26/2025
OP-424389-S,WH-EU-03,435,$49.06,05-10-2025
MN-958492-A,WH-US-01,535,187.24,2025-10-11
QR-806934-B,WH-AS-01,558,260.28,"October 12, 2025"
KL-566579-RS,WH AS 01,324,136.53,05/30/2025
