sku,min_price,max_price
GH-027225-C,119.24,223.58
QR-257787-U,268.23,502.93
IJ-773246-S,250.75,470.16
EF-620176-X,44.61,83.64
CD-032244-S,381.18,714.72
MN-244962-Z,100.07,187.63
AB-589508-U,129.68,243.16
ABC-232148-Y,324.17,607.82
QR-849749-ST,65.76,123.31
AB-796667-RS,26.12,48.97
KL-733052-X,393.7,738.19
UV-292369-T,247.62,464.29
MN-801581-W,309.25,579.84
GH-098251-X,186.52,349.73
GH-377417-ST,355.37,666.31
WX-634052-V,233.66,438.12
CD-766179-Y,289.59,542.98
GH-968096-X,158.52,297.22
EF-579856-V,164.66,308.74
WX-606397-U,65.85,123.46
EF-049050-B,277.55,520.4
OP-811620-V,357.92,671.1
EF-897865-U,345.29,647.42
GH-399591-V,355.1,665.82
DEF-667563-ST,313.14,587.14
WX-171555-W,93.79,175.85
WX-220684-B,323.21,606.02
QR-736911-UV,280.8,526.5
EF-639720-B,190.1,356.44
KL-561086-C,226.5,424.69
OP-172339-Y,367.65,689.34
YZ-284060-UV,55.57,104.2
OP-718870-W,60.27,113.0
CD-241174-ST,190.14,356.51
CD-845151-W,216.2,405.38
YZ-281746-S,227.1,425.81
MN-958492-A,132.38,248.21
UV-223955-B,304.06,570.11
GHI-415850-UV,181.49,340.29
DEF-150811-V,327.48,614.03
IJ-259607-C,357.67,670.63
QR-784300-A,175.28,328.65
ABC-942435-A,363.49,681.54
YZ-380580-U,182.8,342.75
IJ-535277-Y,70.39,131.98
EF-793495-R,345.71,648.2
GH-161265-B,184.43,345.8
KL-831555-B,302.7,567.56
ABC-626380-S,337.23,632.3
YZ-401156-A,116.71,218.82
DEF-555816-V,312.85,586.59
AB-714328-C,197.96,371.18
GH-715825-UV,101.78,190.85
QR-806934-B,180.43,338.31
UV-117970-V,287.71,539.46
ABC-166840-Y,99.92,187.35
AB-758168-UV,139.65,261.85
QR-525902-RS,358.07,671.37
KL-533342-UV,39.59,74.22
GH-913804-B,67.13,125.86
ST-883554-B,158.15,296.53
MN-161263-W,67.9,127.31
KL-566579-RS,91.87,172.26
AB-629038-W,170.63,319.93
GHI-021422-S,137.71,258.2
WX-922406-ST,190.64,357.45
ST-252083-R,32.41,60.77
OP-921659-A,334.49,627.18
EF-090814-C,160.67,301.27
GHI-856662-S,309.76,580.8
IJ-135628-B,378.86,710.36
GHI-993842-Z,15.66,29.36
KL-278932-Z,353.22,662.28
ABC-223086-UV,233.67,438.13
MN-748581-V,194.98,365.58
YZ-705314-B,377.55,707.92
WX-460381-UV,125.06,234.48
DEF-127882-U,160.87,301.64
OP-068136-W,357.52,670.36
AB-617886-Z,335.61,629.26
OP-618024-U,218.98,410.59
AB-075441-C,295.98,554.96
CD-241062-S,321.55,602.9
CD-902393-W,359.94,674.89
EF-540131-U,199.39,373.85
QR-702474-Y,114.99,215.61
MN-566427-T,198.37,371.95
GHI-255801-RS,160.43,300.81
GHI-847721-X,270.2,506.62
MN-099907-S,320.87,601.63
ABC-372507-X,291.88,547.27
ABC-490710-ST,337.48,632.77
CD-707073-B,368.46,690.86
GH-064556-X,392.44,735.83
UV-840482-ST,217.38,407.58
GH-261735-U,363.52,681.59
MN-563336-Y,240.02,450.04
IJ-443374-T,267.9,502.3
QR-486100-U,40.91,76.7
EF-465656-RS,176.02,330.03
GH-054045-B,347.81,652.14
AB-098793-UV,79.24,148.57
OP-175389-X,109.98,206.21
GHI-505740-U,136.32,255.6
YZ-947279-R,186.24,349.2
KL-398382-R,140.3,263.06
YZ-279085-UV,352.82,661.54
DEF-300105-X,117.08,219.52
GHI-163316-U,380.87,714.14
ST-229275-R,173.25,324.85
CD-785309-W,335.29,628.66
CD-053578-A,192.36,360.68
GHI-528276-UV,301.62,565.53
KL-060642-Z,28.42,53.28
EF-893697-T,381.15,714.66
EF-624939-S,95.9,179.8
OP-424389-S,34.9,65.43
OP-608040-A,383.26,718.6
CD-650468-S,23.78,44.59
ABC-690305-A,20.16,37.81
UV-981110-V,104.94,196.75
MN-703258-C,336.98,631.83
UV-251280-V,251.56,471.68
YZ-138235-B,101.51,190.33
ST-480434-W,193.64,363.07
EF-010767-Y,52.84,99.08
GH-077819-Z,379.52,711.6
MN-531458-V,190.29,356.8
IJ-979593-W,108.45,203.34
EF-922981-U,152.61,286.14
WX-299830-T,245.51,460.33
DEF-875244-Z,385.78,723.35
ST-642390-RS,289.6,542.99
AB-701305-ST,312.89,586.68
ST-978017-B,72.2,135.37
GH-985539-UV,129.93,243.61
IJ-278312-S,234.84,440.33
GH-779480-Z,372.12,697.73
IJ-286577-V,233.71,438.21
MN-753470-W,363.95,682.4
MN-721892-B,155.12,290.85
QR-530959-Y,377.06,706.98
QR-950314-UV,85.75,160.77
CD-097781-B,240.1,450.19
ABC-870634-V,333.58,625.47
CD-004717-W,103.2,193.49
IJ-669061-V,281.3,527.44
KL-778236-Y,126.22,236.66
ABC-589153-R,276.23,517.93
GH-079898-UV,323.77,607.06
IJ-573092-R,320.12,600.23
WX-611805-Z,229.85,430.96
IJ-451664-T,24.1,45.19
CD-324232-W,216.84,406.57
CD-943590-W,267.32,501.22
MN-716198-U,35.03,65.68
GH-371858-RS,261.84,490.94
